Age,Assignment_Score,Attendance_Score,Distance_from_Home,Exam_Score,Extracurricular,Family_Income,Gender,Grade,Internet,Learning_Disabilities,Motivation_Level,Parent_Education,Parental_Involvement,Participation,Peer_Influence,Physical_Activity,Resources,Sleep_Hours,Social_Media,Stress_Level,Study_Hours_per_Week,Teacher_Quality,Total_Score,Tutoring_Sessions
22,73.0,84.0,Near,67.0,No,Low,Male,C,Yes,No,Low,High School,Low,No,Positive,3,High,7,5,High,22,Medium,72.2,0
23,59.0,64.0,Moderate,61.0,No,Medium,Female,D,Yes,No,Low,College,Low,No,Negative,4,Medium,8,0,High,18,Medium,61.0,2
22,91.0,98.0,Near,74.0,Yes,Medium,Male,B,Yes,No,Medium,Postgraduate,Medium,No,Neutral,4,Medium,7,8,High,23,Medium,83.9,2
22,98.0,89.0,Moderate,71.0,Yes,Medium,Male,B,Yes,No,Medium,High School,Low,No,Negative,4,Medium,8,5,High,28,Medium,82.7,1
25,65.0,92.0,Near,70.0,Yes,Medium,Female,C,Yes,No,Medium,College,Medium,Yes,Neutral,4,Medium,6,4,Medium,18,High,72.9,3
22,89.0,88.0,Near,71.0,Yes,Medium,Male,C,Yes,No,Medium,Postgraduate,Medium,No,Positive,3,Medium,8,2,High,18,Medium,79.8,3
24,68.0,84.0,Moderate,67.0,Yes,Low,Male,C,Yes,No,Low,High School,Medium,No,Neutral,2,Low,7,5,High,28,Medium,70.7,1
23,50.0,78.0,Far,66.0,Yes,High,Male,D,Yes,No,Medium,High School,Low,No,Negative,2,High,6,12,High,24,High,63.6,1
19,80.0,94.0,Near,69.0,No,Medium,Male,C,Yes,No,High,College,Medium,No,Neutral,1,High,6,5,High,16,Low,77.3,0
24,71.0,98.0,Moderate,72.0,Yes,High,Male,C,Yes,No,Medium,High School,Medium,No,Positive,5,Medium,8,15,Low,22,High,76.9,0
21,88.0,80.0,Moderate,68.0,No,Medium,Male,C,No,No,Medium,College,Low,No,Neutral,4,High,8,18,High,16,High,76.4,4
23,87.0,97.0,Near,71.0,Yes,Low,Male,B,Yes,No,Low,High School,Medium,No,Neutral,2,High,6,5,High,16,High,81.0,2
